Log_Type,Model,Train_Ratio,Accuracy,Precision,Recall,F1
bgl,deeplog,0.1,0.56,0.086,0.81,0.16
bgl,deeplog,0.2,0.72,0.085,0.4,0.14
bgl,deeplog,0.4,0.68,0.16,0.77,0.26
bgl,deeplog,0.6,0.73,0.15,0.64,0.24
bgl,deeplog,0.8,0.71,0.1,0.47,0.17
