Log_Type,Embedding_Type,Model,Train_Ratio,Threshold,Accuracy,Precision,Recall,F1
tbirds2,tf-idf,PCA,0.1,0.075309174,0.471628553,0.087017838,1,0.160103791
tbirds2,tf-idf,PCA,0.2,0.07673747,0.706627585,0.161857439,1,0.278618415
tbirds2,tf-idf,PCA,0.4,0.074236775,0.846751068,0.32366423,1,0.489042799
tbirds2,tf-idf,PCA,0.6,0.07469192,0.97223228,0.703431123,1,0.825899109
tbirds2,tf-idf,PCA,0.8,0.073447598,0.979952445,0.759049488,1,0.863022323
