Log_Type,Embedding_Type,Model,Train_Ratio,Threshold,Accuracy,Precision,Recall,F1
bgl2,tf-idf,PCA,0.1,0.009580552,0.539743111,0.073843696,0.998909068,0.137521225
bgl2,tf-idf,PCA,0.2,0.117431629,0.55644965,0.068804195,0.998642271,0.128738592
bgl2,tf-idf,PCA,0.4,0.100341204,0.426241896,0.069162202,0.998657985,0.129365198
bgl2,tf-idf,PCA,0.6,0.097429389,0.288840494,0.080026378,0.998655569,0.148178595
bgl2,tf-idf,PCA,0.8,0.088109069,0.573628486,0.103341492,0.999007872,0.187307159
